id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,E,F,C,classe
19,2,3,3,2,3,4,4,5,3,3,2,1,2,3,3,3,117,7,3,2.6,3.8,2.33,Fã Fiel
20,3,3,2,2,2,4,4,5,5,3,3,2,3,3,2,4,66,7,2,2.4,4.2,2.83,Fã Fiel
21,2,2,3,3,3,4,5,4,3,5,3,3,3,3,3,4,147,7,3,2.6,4.2,3.17,Fã Fiel
22,3,2,3,3,3,4,3,3,3,4,3,4,4,2,3,3,76,4,3,2.8,3.4,3.17,Fã Fiel
23,3,2,3,2,3,5,4,5,4,4,3,3,2,3,2,3,117,7,3,2.6,4.4,2.67,Fã Fiel
24,3,3,4,2,3,2,2,4,3,2,3,2,4,5,4,4,108,4,2,3.0,2.6,3.67,Ouvinte Contextual
25,2,3,2,3,3,5,4,5,5,3,2,4,3,4,2,4,88,4,5,2.6,4.4,3.17,Fã Fiel
26,4,3,4,4,3,3,2,3,1,2,2,2,3,3,3,3,106,5,3,3.6,2.2,2.67,Explorador Musical
27,3,3,3,3,3,5,4,4,4,3,2,2,3,3,3,2,112,5,3,3.0,4.0,2.5,Fã Fiel
28,2,3,3,2,3,3,2,3,2,4,5,4,5,3,3,4,62,4,6,2.6,2.8,4.0,Ouvinte Contextual
29,4,2,2,3,4,3,4,5,3,3,3,2,3,3,2,3,67,6,2,3.0,3.6,2.67,Fã Fiel
30,4,4,5,4,3,3,2,3,2,3,3,2,3,3,3,4,86,4,5,4.0,2.6,3.0,Explorador Musical
31,3,2,3,3,3,4,2,1,4,5,4,3,4,4,4,4,112,6,2,2.8,3.2,3.83,Ouvinte Contextual
32,5,5,4,4,4,3,1,3,2,4,3,4,2,3,3,3,105,5,7,4.4,2.6,3.0,Explorador Musical
33,3,2,3,2,3,3,2,2,3,3,3,5,4,4,3,5,105,5,5,2.6,2.6,4.0,Ouvinte Contextual
34,3,3,2,3,3,5,4,4,4,5,4,2,3,3,3,4,17,7,2,2.8,4.4,3.17,Fã Fiel
35,2,1,2,2,2,5,4,4,4,5,2,2,3,3,3,3,106,5,3,1.8,4.4,2.67,Fã Fiel
36,3,2,2,3,3,2,3,3,1,2,4,5,4,5,3,4,108,7,5,2.6,2.2,4.17,Ouvinte Contextual
37,3,2,3,3,3,5,3,3,5,5,2,1,3,3,4,3,73,7,3,2.8,4.2,2.67,Fã Fiel
38,4,3,5,5,5,2,3,3,3,3,4,3,3,3,2,3,83,7,3,4.4,2.8,3.0,Explorador Musical
39,4,4,4,3,4,3,3,2,3,3,3,4,4,5,5,4,102,4,4,3.8,2.8,4.17,Ouvinte Contextual
40,3,4,4,3,4,3,1,3,3,3,4,3,2,2,3,3,138,7,7,3.6,2.6,2.83,Explorador Musical
41,2,2,2,3,2,4,4,4,4,4,3,3,3,2,2,4,50,5,1,2.2,4.0,2.83,Fã Fiel
42,3,3,2,3,1,4,5,4,4,4,2,2,4,4,2,4,86,5,6,2.4,4.2,3.0,Fã Fiel
43,3,3,3,5,3,2,4,2,2,3,4,4,4,4,4,3,114,6,2,3.4,2.6,3.83,Ouvinte Contextual
44,3,3,3,3,2,3,3,3,3,2,5,4,3,3,4,4,91,4,4,2.8,2.8,3.83,Ouvinte Contextual
45,3,3,2,2,2,3,4,2,1,2,4,4,4,4,4,5,74,6,5,2.4,2.4,4.17,Ouvinte Contextual
46,2,3,2,3,4,4,5,4,3,4,2,2,3,3,2,4,119,6,5,2.8,4.0,2.67,Fã Fiel
47,3,4,2,3,2,3,3,3,4,3,4,4,4,4,4,5,144,4,5,2.8,3.2,4.17,Ouvinte Contextual
48,3,4,5,4,4,3,3,3,3,2,3,1,3,1,2,3,114,4,3,4.0,2.8,2.17,Explorador Musical
49,4,5,4,5,4,3,4,3,2,2,3,2,3,3,4,3,91,7,5,4.4,2.8,3.0,Explorador Musical
50,5,3,4,5,4,2,3,3,2,3,4,3,3,2,3,3,85,6,6,4.2,2.6,3.0,Explorador Musical
51,4,4,4,3,3,3,3,3,3,3,4,4,5,4,4,5,83,6,5,3.6,3.0,4.33,Ouvinte Contextual
52,3,5,4,3,3,2,3,3,2,3,3,3,3,4,2,3,34,6,5,3.6,2.6,3.0,Explorador Musical
53,3,3,4,3,2,3,3,3,3,3,5,5,4,5,5,4,72,7,4,3.0,3.0,4.67,Ouvinte Contextual
54,4,3,4,3,4,3,4,2,4,2,3,3,3,3,4,3,133,4,4,3.6,3.0,3.17,Explorador Musical
55,2,2,3,4,2,4,3,4,3,4,3,4,5,2,4,3,80,6,3,2.6,3.6,3.5,Fã Fiel
56,3,2,1,2,3,4,4,4,5,4,2,3,4,3,3,4,118,7,4,2.2,4.2,3.17,Fã Fiel
57,3,3,2,3,2,2,4,3,4,3,3,4,4,4,5,4,105,5,5,2.6,3.2,4.0,Ouvinte Contextual
58,4,4,4,4,4,4,3,3,1,2,3,3,4,3,4,3,101,4,5,4.0,2.6,3.33,Explorador Musical
59,3,4,1,2,2,3,3,3,3,4,5,4,5,4,4,5,98,4,7,2.4,3.2,4.5,Ouvinte Contextual
60,3,3,3,4,4,2,2,2,4,4,3,3,2,2,3,2,97,7,3,3.4,2.8,2.5,Explorador Musical
61,4,4,4,4,3,3,2,3,3,2,3,3,3,3,4,4,92,5,8,3.8,2.6,3.33,Explorador Musical
62,5,3,4,5,3,2,2,3,3,2,3,3,2,5,3,4,85,4,5,4.0,2.4,3.33,Explorador Musical
63,4,2,3,3,3,2,3,3,3,3,4,2,3,4,3,3,116,7,3,3.0,2.8,3.17,Ouvinte Contextual
64,2,3,3,2,3,5,5,5,5,3,4,2,4,3,2,2,79,4,1,2.6,4.6,2.83,Fã Fiel
65,5,5,4,4,4,2,3,3,4,2,4,3,3,3,3,3,74,7,6,4.4,2.8,3.17,Explorador Musical
66,4,5,5,4,4,2,3,2,4,3,3,4,1,2,4,3,107,7,3,4.4,2.8,2.83,Explorador Musical
67,3,4,4,3,3,3,2,3,3,2,4,3,4,4,3,5,117,4,1,3.4,2.6,3.83,Ouvinte Contextual
68,2,3,1,2,2,5,4,5,5,5,3,3,2,4,2,3,84,6,1,2.0,4.8,2.83,Fã Fiel
69,4,5,4,3,4,3,1,2,3,3,3,4,3,4,5,3,76,4,6,4.0,2.4,3.67,Explorador Musical
70,2,2,4,3,2,5,4,4,5,3,3,4,3,3,2,3,77,5,2,2.6,4.2,3.0,Fã Fiel
71,3,2,4,3,3,2,4,4,3,2,5,4,3,4,4,5,100,7,7,3.0,3.0,4.17,Ouvinte Contextual
72,3,1,2,3,1,4,5,4,4,4,2,4,3,3,1,4,103,7,3,2.0,4.2,2.83,Fã Fiel
73,3,2,3,2,2,4,4,5,4,5,3,3,3,4,2,4,126,4,6,2.4,4.4,3.17,Fã Fiel
74,3,3,2,3,2,4,5,4,4,5,3,3,3,3,2,2,35,4,3,2.6,4.4,2.67,Fã Fiel
75,4,4,2,3,5,2,3,2,4,2,3,5,4,3,3,3,115,6,4,3.6,2.6,3.5,Explorador Musical
76,3,3,4,3,4,4,5,4,4,4,3,3,2,2,2,2,88,6,5,3.4,4.2,2.33,Fã Fiel
77,3,1,3,3,4,2,3,4,3,3,4,4,5,4,5,3,104,5,4,2.8,3.0,4.17,Ouvinte Contextual
78,2,2,2,2,2,4,3,5,3,4,2,4,3,3,3,2,83,5,6,2.0,3.8,2.83,Fã Fiel
79,3,3,3,3,2,2,3,2,4,3,3,3,3,4,4,4,127,7,4,2.8,2.8,3.5,Ouvinte Contextual
80,3,4,5,4,5,2,4,2,3,1,2,4,3,4,3,3,140,4,5,4.2,2.4,3.17,Explorador Musical
81,1,2,3,3,1,4,4,4,3,4,2,3,3,3,2,3,60,7,2,2.0,3.8,2.67,Fã Fiel
82,4,3,4,4,3,3,2,3,3,1,2,3,4,2,3,4,95,7,6,3.6,2.4,3.0,Explorador Musical
83,4,4,3,2,5,2,2,2,2,2,3,3,3,3,3,4,67,4,7,3.6,2.0,3.17,Explorador Musical
84,4,2,3,4,3,3,3,2,3,3,4,4,4,5,5,3,104,7,3,3.2,2.8,4.17,Ouvinte Contextual
85,3,3,3,3,3,5,3,5,4,5,2,2,3,3,3,4,32,7,3,3.0,4.4,2.83,Fã Fiel
86,3,2,3,1,3,2,3,3,4,3,4,4,5,5,4,4,47,5,5,2.4,3.0,4.33,Ouvinte Contextual
87,1,3,2,4,2,4,5,5,4,4,3,3,2,3,2,3,98,4,1,2.4,4.4,2.67,Fã Fiel
88,3,3,2,3,2,4,4,5,4,5,2,3,3,3,2,2,43,7,2,2.6,4.4,2.5,Fã Fiel
89,2,3,3,4,2,3,2,2,3,1,4,5,4,4,5,4,77,4,5,2.8,2.2,4.33,Ouvinte Contextual
90,2,2,2,2,2,5,3,5,3,4,4,3,3,2,2,3,86,5,3,2.0,4.0,2.83,Fã Fiel
91,3,3,2,3,3,2,3,2,3,3,5,4,3,5,4,4,104,4,6,2.8,2.6,4.17,Ouvinte Contextual
92,4,4,4,4,5,3,4,4,2,2,2,2,2,2,2,3,63,5,6,4.2,3.0,2.17,Explorador Musical
93,2,5,3,3,2,4,4,3,2,3,3,5,5,4,3,4,115,6,6,3.0,3.2,4.0,Ouvinte Contextual
94,2,3,4,2,3,3,3,1,3,3,4,4,4,4,4,4,82,5,5,2.8,2.6,4.0,Ouvinte Contextual
95,1,3,2,3,3,3,3,4,4,4,2,3,4,3,3,2,108,5,4,2.4,3.6,2.83,Fã Fiel
96,4,4,5,5,3,2,3,3,2,3,3,3,3,3,4,3,82,4,5,4.2,2.6,3.17,Explorador Musical
97,5,3,3,3,4,2,2,3,2,3,3,3,3,3,3,4,111,6,6,3.6,2.4,3.17,Explorador Musical
98,2,4,4,3,3,3,3,2,3,3,4,4,4,4,3,5,149,6,7,3.2,2.8,4.0,Ouvinte Contextual
99,2,3,4,3,3,1,3,2,3,2,5,5,4,3,3,4,77,6,5,3.0,2.2,4.0,Ouvinte Contextual
100,3,2,3,4,3,3,3,2,3,3,4,4,4,5,4,2,130,5,1,3.0,2.8,3.83,Ouvinte Contextual
